jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|cpu:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=cpu,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=cpu, 
1024,  3905,  completed,  eof,  2018-09-19 22:22:11,  2018-09-19 22:22:19,  8,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|cpu:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  30,  11,  14,  3,  0.05005,  272,  0.05015,  6.49689655172,  33.5906578713, 
1024,  3937,  completed,  eof,  2018-09-19 22:22:12,  2018-09-19 22:22:17,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  22,  0.1,  8.9735795867,  46.3957582482, 
1024,  3967,  completed,  eof,  2018-09-19 22:22:13,  2018-09-19 22:22:22,  9,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|cpu:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  30,  12,  16,  5,  0.1,  521,  0.0003,  9.71068965517,  50.2068104832, 
1024,  4018,  completed,  eof,  2018-09-19 22:22:14,  2018-09-19 22:22:20,  6,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|cpu:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  30,  10,  13,  2,  0.025075,  147,  0.075075,  6.82342413793,  35.2788910679, 
1024,  4041,  completed,  eof,  2018-09-19 22:22:14,  2018-09-19 22:22:20,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|cpu:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  30,  11,  15,  4,  0.075025,  396,  0.025225,  6.52344827586,  33.7279372437, 
1024,  4050,  completed,  eof,  2018-09-19 22:22:17,  2018-09-19 22:22:19,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_47.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  47,  0.1,  6.33854400741,  32.7719337163, 
1024,  4051,  completed,  eof,  2018-09-19 22:22:19,  2018-09-19 22:22:23,  4,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|cpu:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  30,  11,  14,  3,  0.055045,  296,  0.055135,  6.99665517241,  36.1745409164, 
1024,  4062,  completed,  eof,  2018-09-19 22:22:20,  2018-09-19 22:22:23,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_53.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  53,  0.1,  7.02110344828,  36.30094491, 
1024,  4063,  completed,  eof,  2018-09-19 22:22:20,  2018-09-19 22:22:23,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_41.modelParams|spParams|synPermInactiveDec_0.0950683922224,  30,  9,  12,  1,  0.0001,  41,  0.0950683922224,  8.67473288796,  44.8506424944, 
